Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
C1,38.665001mm,39.068747mm,Top,0.0,38.665001mm,39.068747mm
C2,38.665001mm,37.118762mm,Top,0.0,38.665001mm,37.118762mm
C3,38.665001mm,35.168777mm,Top,0.0,38.665001mm,35.168777mm
C4,38.665001mm,33.218792mm,Top,0.0,38.665001mm,33.218792mm
C5,38.665001mm,31.268807mm,Top,0.0,38.665001mm,31.268807mm
D1,91.960000mm,58.658733mm,Top,0.0,91.960000mm,58.658733mm
D2,91.960000mm,55.538733mm,Top,0.0,91.960000mm,55.538733mm
D3,13.962000mm,95.125000mm,Top,180.0,13.962000mm,95.125000mm
D4,14.011979mm,97.125000mm,Top,0.0,14.011979mm,97.125000mm
D5,13.962000mm,93.125000mm,Top,180.0,13.962000mm,93.125000mm
D6,14.011979mm,85.125000mm,Top,180.0,14.011979mm,85.125000mm
F1,65.730000mm,50.208733mm,Top,0.0,65.730000mm,50.208733mm
F2,65.730000mm,47.088733mm,Top,0.0,65.730000mm,47.088733mm
F3,65.730000mm,43.968733mm,Top,0.0,65.730000mm,43.968733mm
F4,113.955000mm,78.663733mm,Top,0.0,113.955000mm,78.663733mm
F5,113.955000mm,76.153733mm,Top,0.0,113.955000mm,76.153733mm
F6,113.955000mm,73.643733mm,Top,0.0,113.955000mm,73.643733mm
F7,113.955000mm,71.133733mm,Top,0.0,113.955000mm,71.133733mm
F8,113.955000mm,68.623733mm,Top,0.0,113.955000mm,68.623733mm
F9,113.955000mm,66.113733mm,Top,0.0,113.955000mm,66.113733mm
J1,75.675000mm,56.093733mm,Top,0.0,75.675000mm,56.093733mm
J2,17.962000mm,91.125000mm,Top,0.0,17.962000mm,91.125000mm
L1,42.385000mm,32.183733mm,Top,0.0,42.385000mm,32.183733mm
L2,42.385000mm,29.673733mm,Top,0.0,42.385000mm,29.673733mm
M1,72.950000mm,60.968731mm,Top,0.0,72.950000mm,60.968731mm
M2,88.000000mm,49.468730mm,Top,0.0,88.000000mm,49.468730mm
M3,72.950000mm,94.068733mm,Top,0.0,72.950000mm,94.068733mm
M4,72.950000mm,83.018733mm,Top,0.0,72.950000mm,83.018733mm
M5,72.950000mm,42.768733mm,Top,0.0,72.950000mm,42.768733mm
M6,37.700000mm,52.518733mm,Top,0.0,37.700000mm,52.518733mm
M7,37.700000mm,67.868723mm,Top,0.0,37.700000mm,67.868723mm
M8,37.700000mm,44.182059mm,Top,0.0,37.700000mm,44.182059mm
P1,14.498000mm,77.482000mm,Top,0.0,14.498000mm,77.482000mm
P2,14.450000mm,77.365000mm,Top,0.0,14.450000mm,77.365000mm
Q1,91.095000mm,101.968733mm,Top,180.0,91.095000mm,101.968733mm
Q2,106.715000mm,100.198733mm,Top,180.0,106.715000mm,100.198733mm
Q3,106.715000mm,92.003733mm,Top,180.0,106.715000mm,92.003733mm
Q4,106.715000mm,83.808733mm,Top,180.0,106.715000mm,83.808733mm
Q5,106.715000mm,75.613733mm,Top,180.0,106.715000mm,75.613733mm
Q6,106.715000mm,67.418733mm,Top,180.0,106.715000mm,67.418733mm
Q7,106.715000mm,59.223733mm,Top,180.0,106.715000mm,59.223733mm
R1,92.100000mm,81.292138mm,Top,0.0,92.100000mm,81.292138mm
R2,92.100000mm,79.343092mm,Top,0.0,92.100000mm,79.343092mm
R3,92.100000mm,77.394046mm,Top,0.0,92.100000mm,77.394046mm
R4,90.580391mm,47.293342mm,Top,0.0,90.580391mm,47.293342mm
R5,92.100000mm,75.445000mm,Top,0.0,92.100000mm,75.445000mm
R6,92.100000mm,73.495954mm,Top,0.0,92.100000mm,73.495954mm
R7,92.400001mm,69.328732mm,Top,0.0,92.400001mm,69.328732mm
R8,92.400001mm,66.825804mm,Top,0.0,92.400001mm,66.825804mm
R9,92.400001mm,64.322876mm,Top,0.0,92.400001mm,64.322876mm
R10,13.300000mm,29.975000mm,Top,-90.0,13.300000mm,29.975000mm
R11,11.000000mm,29.975000mm,Top,-90.0,11.000000mm,29.975000mm
R12,15.600000mm,29.975021mm,Top,-90.0,15.600000mm,29.975021mm
R13,8.700000mm,29.925000mm,Top,-90.0,8.700000mm,29.925000mm
R14,92.100000mm,71.546908mm,Top,0.0,92.100000mm,71.546908mm
R15,66.230000mm,32.462138mm,Top,0.0,66.230000mm,32.462138mm
R16,9.062000mm,95.400000mm,Top,180.0,9.062000mm,95.400000mm
R17,9.062000mm,92.850000mm,Top,180.0,9.062000mm,92.850000mm
R18,66.230000mm,30.513092mm,Top,0.0,66.230000mm,30.513092mm
R19,117.610000mm,78.942138mm,Top,0.0,117.610000mm,78.942138mm
R20,9.062000mm,83.400000mm,Top,180.0,9.062000mm,83.400000mm
R21,9.062000mm,80.850000mm,Top,180.0,9.062000mm,80.850000mm
R22,116.295000mm,101.923733mm,Top,0.0,116.295000mm,101.923733mm
R23,77.109000mm,106.387200mm,Top,90.0,77.109000mm,106.387200mm
R24,116.295000mm,97.033733mm,Top,0.0,116.295000mm,97.033733mm
R25,117.610000mm,76.993092mm,Top,0.0,117.610000mm,76.993092mm
R26,117.610000mm,75.044046mm,Top,0.0,117.610000mm,75.044046mm
R27,117.610000mm,73.095000mm,Top,0.0,117.610000mm,73.095000mm
R28,116.295000mm,92.143733mm,Top,0.0,116.295000mm,92.143733mm
R29,116.295000mm,87.253733mm,Top,0.0,116.295000mm,87.253733mm
R30,116.295000mm,82.363733mm,Top,0.0,116.295000mm,82.363733mm
R31,109.900000mm,52.222138mm,Top,0.0,109.900000mm,52.222138mm
R32,109.900000mm,50.273092mm,Top,0.0,109.900000mm,50.273092mm
R33,109.900000mm,48.324046mm,Top,0.0,109.900000mm,48.324046mm
R34,109.900000mm,46.375000mm,Top,0.0,109.900000mm,46.375000mm
R35,109.900000mm,44.425954mm,Top,0.0,109.900000mm,44.425954mm
R36,109.900000mm,42.476908mm,Top,0.0,109.900000mm,42.476908mm
R37,113.200000mm,52.222138mm,Top,0.0,113.200000mm,52.222138mm
R38,113.200000mm,50.273092mm,Top,0.0,113.200000mm,50.273092mm
R39,113.200000mm,48.324046mm,Top,0.0,113.200000mm,48.324046mm
R40,113.200000mm,46.375000mm,Top,0.0,113.200000mm,46.375000mm
R41,113.200000mm,44.425954mm,Top,0.0,113.200000mm,44.425954mm
R42,113.200000mm,42.476908mm,Top,0.0,113.200000mm,42.476908mm
R43,116.500000mm,52.222138mm,Top,0.0,116.500000mm,52.222138mm
R44,116.500000mm,50.273092mm,Top,0.0,116.500000mm,50.273092mm
R45,116.500000mm,48.324046mm,Top,0.0,116.500000mm,48.324046mm
R46,116.500000mm,46.375000mm,Top,0.0,116.500000mm,46.375000mm
R47,52.480000mm,39.042138mm,Top,0.0,52.480000mm,39.042138mm
R48,52.480000mm,37.093092mm,Top,0.0,52.480000mm,37.093092mm
R49,52.480000mm,35.144046mm,Top,0.0,52.480000mm,35.144046mm
R50,52.480000mm,33.195000mm,Top,0.0,52.480000mm,33.195000mm
U1,56.485000mm,47.743733mm,Top,0.0,56.485000mm,47.743733mm
U2,44.605000mm,36.663733mm,Top,270.0,44.605000mm,36.663733mm
U3,68.805000mm,36.663733mm,Top,270.0,68.805000mm,36.663733mm
U4,104.025000mm,49.843733mm,Top,270.0,104.025000mm,49.843733mm
U5,104.025000mm,43.263733mm,Top,270.0,104.025000mm,43.263733mm
U6,104.025000mm,36.683733mm,Top,270.0,104.025000mm,36.683733mm
U7,104.025000mm,30.103733mm,Top,270.0,104.025000mm,30.103733mm
U8,58.355000mm,36.663733mm,Top,270.0,58.355000mm,36.663733mm
